,T [L = 50],SEED: 1666248251,SEED: 1666248257,SEED: 1666248278,SEED: 1666248255,SEED: 1666248253,SEED: 1666248277,SEED: 1666248254,SEED: 1666248256,SEED: 1666248276,SEED: 1666248274,SEED: 1666248275,SEED: 1666248252,Average
0,2.0,0.666308,0.666297,0.665897,0.666332,0.666333,0.66597,0.666225,0.666169,0.666213,0.666294,0.666426,0.66619,0.6662211666666665
1,2.02,0.66601,0.666059,0.66592,0.666276,0.666373,0.666255,0.666145,0.665958,0.666088,0.666022,0.666051,0.666376,0.6661277499999999
2,2.04,0.666216,0.666181,0.666183,0.665167,0.666117,0.666032,0.66627,0.666032,0.665193,0.665374,0.66568,0.665944,0.66586575
3,2.06,0.666252,0.665865,0.665477,0.666015,0.665896,0.666067,0.665738,0.666188,0.665351,0.666181,0.66605,0.666151,0.6659359166666667
4,2.08,0.666024,0.665782,0.66553,0.666134,0.666103,0.66579,0.665839,0.665816,0.665953,0.665824,0.666092,0.666115,0.6659168333333332
5,2.1,0.664528,0.665188,0.666065,0.664838,0.665794,0.665491,0.666053,0.665509,0.665237,0.665686,0.665177,0.665665,0.6654359166666667
6,2.12,0.665638,0.6658,0.665807,0.654814,0.665621,0.665961,0.665913,0.661894,0.665302,0.665026,0.657112,0.665701,0.66371575
7,2.14,0.665545,0.665193,0.665229,0.662825,0.664546,0.662134,0.665108,0.664612,0.66475,0.665469,0.665201,0.665869,0.6647067499999999
8,2.16,0.66514,0.661609,0.664223,0.665453,0.665099,0.665469,0.664746,0.663443,0.664604,0.664114,0.664553,0.664662,0.6644262499999999
9,2.18,0.664341,0.664687,0.665092,0.664411,0.663114,0.664516,0.664665,0.663909,0.664432,0.664457,0.664965,0.665035,0.6644686666666666
10,2.2,0.664858,0.664719,0.663844,0.642855,0.664539,0.662954,0.653631,0.664115,0.66377,0.664633,0.658424,0.663951,0.6610244166666667
11,2.22,0.661931,0.664468,0.656224,0.662285,0.662263,0.662804,0.663961,0.65601,0.65463,0.663952,0.662301,0.66335,0.6611815833333334
12,2.24,0.63346,0.660737,0.66308,0.662516,0.661368,0.568084,0.639211,0.658747,0.661052,0.216808,0.605396,0.656352,0.60723425
13,2.26,0.663966,0.529191,0.639089,0.6493,0.658378,0.656057,0.545628,0.617999,0.65638,0.646439,0.655814,0.654488,0.63106075
14,2.28,0.644303,0.135114,0.602486,0.648752,0.641539,0.637088,0.537103,0.579343,0.648154,0.608577,0.647594,0.646679,0.5813943333333332
15,2.3,0.66033,0.610712,0.583129,0.644489,0.54844,-0.02536,0.658046,0.658635,0.291697,0.640134,0.480824,0.631339,0.5318679166666667
16,2.32,0.641964,0.634005,0.62486,0.550291,0.593444,0.650714,0.651663,0.624811,0.634688,0.529819,0.62754,0.636223,0.6166685
17,2.34,0.123583,0.247239,0.660364,0.34514,0.612174,0.602746,0.480276,0.525906,0.205556,0.483288,0.346572,0.59196,0.4354003333333334
18,2.36,0.468438,0.301471,0.318179,0.482206,0.384664,0.603659,0.436619,0.587673,0.480967,-0.038627,0.525828,0.459122,0.41751658333333325
19,2.38,0.450432,0.294356,0.145592,0.507852,0.626199,0.44628,0.189835,0.395357,0.388504,0.473692,0.2245,0.279027,0.3684688333333333
