,T [L = 10],SEED: 1666248254,SEED: 1666248257,SEED: 1666248276,SEED: 1666248274,SEED: 1666248278,SEED: 1666248255,SEED: 1666248251,SEED: 1666248256,SEED: 1666248253,SEED: 1666248275,SEED: 1666248252,SEED: 1666248277,Average
0,2.0,0.659388,0.659434,0.647658,0.661652,0.659332,0.660582,0.660348,0.661187,0.660566,0.663289,0.659881,0.661936,0.6596044166666667
1,2.02,0.659355,0.656906,0.654468,0.662036,0.659213,0.635134,0.653199,0.662631,0.659575,0.661235,0.660554,0.660936,0.6571035000000002
2,2.04,0.660287,0.651803,0.648634,0.655483,0.656422,0.660032,0.663408,0.657696,0.661222,0.660116,0.659266,0.660237,0.6578838333333333
3,2.06,0.640384,0.648797,0.657672,0.659605,0.615885,0.659782,0.658181,0.648232,0.65579,0.658421,0.655103,0.659566,0.6514515
4,2.08,0.660031,0.645532,0.651769,0.622543,0.655549,0.657797,0.655286,0.651957,0.649669,0.657186,0.653857,0.662009,0.6519320833333334
5,2.1,0.63117,0.656017,0.654583,0.659356,0.655054,0.644932,0.659323,0.647374,0.629713,0.658966,0.645216,0.648702,0.6492005
6,2.12,0.661364,0.63549,0.653106,0.653942,0.649922,0.654897,0.65265,0.656281,0.654138,0.645766,0.657233,0.540231,0.6429183333333333
7,2.14,0.655117,0.660152,0.641242,0.649065,0.658548,0.628147,0.595898,0.655289,0.646742,0.626458,0.653806,0.648427,0.6432409166666667
8,2.16,0.653727,0.652645,0.64999,0.583279,0.633769,0.652659,0.547211,0.648235,0.617455,0.636749,0.648725,0.60422,0.6273886666666666
9,2.18,0.621692,0.65112,0.625078,0.654718,0.645477,0.641515,0.63051,0.630792,0.641889,0.652878,0.650371,0.612759,0.63823325
10,2.2,0.610993,0.651746,0.641475,0.603182,0.633744,0.643233,0.617911,0.655592,0.642648,0.634348,0.643802,0.647444,0.6355098333333334
11,2.22,0.623734,0.638903,0.639093,0.630785,0.609359,0.61783,0.639637,0.610286,0.615507,0.640289,0.606756,0.611617,0.6236496666666667
12,2.24,0.621644,0.6364,0.580372,0.628823,0.632575,0.636143,0.651933,0.647521,0.639134,0.602823,0.614999,0.531141,0.6186256666666667
13,2.26,0.551102,0.642291,0.599171,0.573081,0.585361,0.60018,0.615764,0.59137,0.615585,0.607199,0.550812,0.636427,0.5973619166666667
14,2.28,0.600673,0.593897,0.633658,0.636854,0.605411,0.609601,0.615448,0.646501,0.61997,0.617137,0.618307,0.647524,0.6204150833333333
15,2.3,0.637942,0.578668,0.644346,0.634313,0.607248,0.623954,0.61906,0.543111,0.619712,0.587037,0.623705,0.605522,0.6103848333333333
16,2.32,0.579384,0.586307,0.476067,0.58351,0.550502,0.615348,0.593237,0.537675,0.579144,0.594827,0.592751,0.608223,0.5747479166666667
17,2.34,0.539351,0.601958,0.583018,0.603354,0.573098,0.591017,0.614566,0.565791,0.475387,0.63398,0.551413,0.533954,0.5722405833333334
18,2.36,0.643454,0.586875,0.560375,0.497485,0.579603,0.534847,0.420824,0.402922,0.628766,0.614789,0.546331,0.309422,0.5271410833333333
19,2.38,0.608675,0.630359,0.604891,0.589963,0.57268,0.431972,0.515078,0.600849,0.403139,0.551813,0.566984,0.593062,0.5557887499999999
