,T [L = 20],SEED: 1666248252,SEED: 1666248274,SEED: 1666248256,SEED: 1666248254,SEED: 1666248277,SEED: 1666248275,SEED: 1666248257,SEED: 1666248276,SEED: 1666248278,SEED: 1666248251,SEED: 1666248253,SEED: 1666248255,Average
0,2.0,0.664652,0.664387,0.665075,0.661398,0.664621,0.663925,0.663953,0.662933,0.664379,0.664065,0.664885,0.663986,0.6640215833333333
1,2.02,0.663636,0.663998,0.665276,0.664205,0.657953,0.664025,0.662884,0.664119,0.66331,0.662934,0.664152,0.66485,0.6634451666666668
2,2.04,0.663428,0.662833,0.664109,0.662281,0.662708,0.664681,0.664303,0.663608,0.661404,0.662927,0.662876,0.664754,0.663326
3,2.06,0.661736,0.661625,0.661992,0.662462,0.653966,0.663756,0.664716,0.663055,0.664093,0.663132,0.663384,0.6631,0.6622514166666668
4,2.08,0.662447,0.660018,0.66381,0.658353,0.662101,0.659048,0.664342,0.663109,0.662245,0.653926,0.660068,0.662724,0.6610159166666666
5,2.1,0.662427,0.632764,0.662506,0.635934,0.660976,0.651425,0.661984,0.661122,0.661287,0.663865,0.661936,0.663871,0.65667475
6,2.12,0.662076,0.66001,0.663897,0.659305,0.65434,0.663039,0.663371,0.661161,0.660084,0.663038,0.653365,0.662903,0.6605490833333333
7,2.14,0.662842,0.657962,0.661831,0.661191,0.661468,0.661272,0.656561,0.661551,0.657399,0.658567,0.662614,0.662583,0.66048675
8,2.16,0.659181,0.636094,0.650458,0.661023,0.658105,0.648253,0.660533,0.659338,0.662513,0.650159,0.574364,0.52623,0.6371875833333334
9,2.18,0.636975,0.658572,0.641301,0.661982,0.659038,0.651094,0.65889,0.659628,0.65809,0.657752,0.660489,0.646173,0.6541653333333334
10,2.2,0.634665,0.655479,0.661238,0.619109,0.226369,0.659483,0.6609,0.659877,0.659499,0.64396,0.658116,0.653178,0.6159894166666667
11,2.22,0.616732,0.601623,0.657501,0.644536,0.639081,0.653893,0.46139,0.661505,0.63338,0.647407,0.649122,0.640407,0.6255480833333333
12,2.24,0.645887,0.549584,0.506349,0.645426,0.538667,0.644239,0.632362,0.641337,0.651495,0.643546,0.584373,0.526104,0.60078075
13,2.26,0.638569,0.655849,0.584213,0.654049,0.641368,0.647569,0.382041,0.593017,0.624407,0.649154,0.636412,0.62148,0.6106773333333333
14,2.28,0.613544,0.579936,0.642888,0.638832,0.582908,0.434546,0.652806,0.59561,0.234962,0.58925,0.571176,0.555253,0.5576425833333333
15,2.3,0.610385,0.484152,0.626083,0.641811,0.644526,0.586623,0.62997,0.627943,0.645897,0.637205,0.648606,0.568188,0.6126157499999999
16,2.32,0.412737,0.638778,0.655798,0.50464,0.472584,0.623773,0.605769,0.522941,0.647956,0.556496,0.562481,0.631836,0.5696490833333333
17,2.34,0.625959,0.537487,0.650443,0.629096,0.10864,0.446414,0.578065,0.264059,0.56381,0.605651,0.493808,0.295232,0.48322200000000004
18,2.36,0.525831,0.508664,0.631833,0.363728,0.637491,0.488844,0.526941,0.535154,0.484697,0.465391,0.577987,0.568258,0.5262349166666667
19,2.38,0.486712,0.607626,0.434394,0.336894,0.605676,0.559241,0.233294,0.30534,0.515915,0.560845,0.626765,0.58153,0.48785266666666666
