,T [L = 60],SEED: 1666248277,SEED: 1666248274,SEED: 1666248252,SEED: 1666248278,SEED: 1666248253,SEED: 1666248276,SEED: 1666248251,SEED: 1666248255,SEED: 1666248256,SEED: 1666248275,SEED: 1666248257,SEED: 1666248254,Average
0,2.0,0.666239,0.666407,0.666386,0.666381,0.666362,0.665241,0.666335,0.666183,0.666413,0.666475,0.666448,0.666384,0.6662711666666666
1,2.02,0.666239,0.666406,0.666326,0.666339,0.666301,0.666235,0.666265,0.66635,0.666475,0.666157,0.666294,0.666234,0.66630175
2,2.04,0.665756,0.666058,0.666027,0.663928,0.666401,0.666139,0.666175,0.666445,0.666276,0.666154,0.665647,0.666205,0.66593425
3,2.06,0.666263,0.66617,0.666157,0.665993,0.666243,0.666046,0.666362,0.665988,0.66611,0.665165,0.666003,0.666323,0.6660685833333333
4,2.08,0.665835,0.666166,0.6661,0.666101,0.666203,0.665365,0.666108,0.66573,0.665613,0.665927,0.665932,0.665201,0.66585675
5,2.1,0.665992,0.666056,0.666017,0.665882,0.665259,0.665228,0.665847,0.665613,0.66507,0.665181,0.665759,0.665476,0.665615
6,2.12,0.664251,0.665072,0.665686,0.665524,0.665821,0.663864,0.665676,0.66578,0.665904,0.665567,0.665942,0.665784,0.6654059166666668
7,2.14,0.665006,0.665329,0.665846,0.665598,0.66415,0.665534,0.665693,0.665832,0.665792,0.665481,0.665811,0.665578,0.6654708333333333
8,2.16,0.665562,0.664387,0.664108,0.665321,0.656202,0.665304,0.665471,0.665119,0.66243,0.6632,0.66509,0.664357,0.6638792499999999
9,2.18,0.664405,0.665488,0.664838,0.665742,0.665099,0.661053,0.66521,0.663927,0.662093,0.664754,0.665514,0.665242,0.6644470833333334
10,2.2,0.661835,0.664489,0.664319,0.662403,0.662704,0.664351,0.662193,0.662971,0.664733,0.664523,0.665078,0.663197,0.6635663333333334
11,2.22,0.642112,0.662508,0.661808,0.664133,0.664496,0.663882,0.660454,0.663322,0.661847,0.659696,0.661422,0.664159,0.6608199166666666
12,2.24,0.66445,0.644382,0.650408,0.660791,0.658343,0.66335,0.659292,0.657439,0.662528,0.661189,0.652848,0.527193,0.6468510833333333
13,2.26,0.637653,0.659423,0.663176,0.658623,0.649432,0.662173,0.661861,0.653391,0.660033,0.643689,0.658768,0.658587,0.6555674166666667
14,2.28,0.658384,0.649229,0.659352,0.649624,0.445767,0.604927,0.649183,0.174948,0.655887,0.658238,0.636965,0.632047,0.5895459166666667
15,2.3,0.352407,0.655491,0.637523,0.653123,0.646078,0.170453,0.552624,0.638671,0.209295,0.600769,0.505605,0.569156,0.5159329166666665
16,2.32,0.484938,0.641934,0.633198,0.64434,0.5369,0.654052,0.649625,0.648682,0.622474,0.643459,0.315449,0.63995,0.5929167500000001
17,2.34,0.360668,0.65545,0.16454,0.444441,0.459547,0.480891,0.614122,0.284863,0.631648,0.646131,-0.129496,0.639943,0.4377290000000001
18,2.36,0.432064,0.492533,0.476272,0.347459,0.353829,0.465392,0.32273,0.116051,0.556365,0.303576,0.643145,0.191351,0.3917305833333333
19,2.38,0.212133,0.54651,0.631787,0.515342,0.474926,0.467175,0.294152,0.643513,0.578069,0.297698,0.228814,0.435867,0.4438321666666667
