,T [L = 60],SEED: 1665736104,SEED: 1665735584,SEED: 1665735586,SEED: 1665735587,SEED: 1665735583,SEED: 1665735585,SEED: 1665736103,SEED: 1665736105,SEED: 1665735588,SEED: 1665736102,SEED: 1665736106,SEED: 1665735589,Average
0,2.0,0.666345,0.666353,0.666334,0.666335,0.66631,0.666347,0.666271,0.666324,0.666332,0.66633,0.66635,0.666372,0.6663335833333334
1,2.02,0.666288,0.666094,0.666286,0.666255,0.66629,0.666154,0.666251,0.666269,0.666288,0.666298,0.666321,0.66629,0.666257
2,2.04,0.666144,0.666212,0.666201,0.666202,0.66622,0.666191,0.666057,0.666202,0.666191,0.66622,0.666166,0.666146,0.6661793333333333
3,2.06,0.666024,0.666051,0.666091,0.666052,0.666005,0.665934,0.666029,0.66605,0.666134,0.666176,0.666067,0.666003,0.6660513333333333
4,2.08,0.665891,0.666029,0.665922,0.666005,0.665898,0.665933,0.666049,0.665897,0.665883,0.665896,0.665988,0.665962,0.6659460833333334
5,2.1,0.665793,0.66557,0.66572,0.665638,0.665721,0.665907,0.665623,0.665586,0.665903,0.665591,0.665719,0.665688,0.6657049166666668
6,2.12,0.665484,0.665192,0.665589,0.665418,0.665681,0.665683,0.664652,0.665336,0.665536,0.665351,0.66542,0.665483,0.6654020833333334
7,2.14,0.664634,0.664206,0.665401,0.664776,0.664799,0.66482,0.665074,0.665144,0.664805,0.665249,0.66437,0.664922,0.66485
8,2.16,0.663745,0.664551,0.6647,0.663563,0.664483,0.664082,0.664853,0.664848,0.665028,0.664414,0.66494,0.664509,0.6644763333333333
9,2.18,0.663601,0.664201,0.664172,0.664021,0.660633,0.663552,0.663961,0.663985,0.664361,0.663439,0.664112,0.663762,0.66365
10,2.2,0.66242,0.660555,0.66032,0.662997,0.6627,0.662362,0.640659,0.662778,0.656627,0.662645,0.662604,0.663155,0.6599851666666667
11,2.22,0.654889,0.661155,0.657096,0.654203,0.659988,0.658701,0.641776,0.661375,0.660459,0.651477,0.660993,0.660387,0.6568749166666668
12,2.24,0.654938,0.655443,0.642153,0.626665,0.657439,0.6586,0.65727,0.656949,0.650189,0.656999,0.649143,0.643504,0.6507743333333332
13,2.26,0.649517,0.561204,0.639056,0.6225,0.650448,0.594138,0.626968,0.497012,0.647182,0.646374,0.659099,0.656517,0.6208345833333333
14,2.28,0.55593,0.470424,0.634082,0.638964,0.46639,0.618646,0.551271,0.639974,0.581812,0.534851,0.211339,0.605141,0.5424019999999999
15,2.3,0.554176,0.421274,0.492216,0.621507,0.581599,0.457814,0.435569,0.527098,0.398291,0.550849,0.504776,0.4421,0.4989390833333333
16,2.32,0.227132,0.498004,0.393221,0.502537,0.405686,0.408534,0.525365,0.384348,0.495896,0.461964,0.424152,0.415427,0.4285221666666667
17,2.34,0.487809,0.367485,0.404668,0.343569,0.479717,0.463005,0.135554,0.476425,0.442855,0.257725,0.331155,0.435749,0.3854763333333333
18,2.36,0.373857,0.399188,0.175087,0.259653,0.234528,0.219459,0.270642,0.363232,0.183957,0.082928,0.390078,0.371029,0.2769698333333333
19,2.38,0.281909,0.157821,0.360435,0.26346,0.221216,0.331766,0.223072,0.140558,0.285069,0.170455,0.195443,0.103366,0.2278808333333333
