,T [L = 50],SEED: 1665736102,SEED: 1665735586,SEED: 1665736105,SEED: 1665735585,SEED: 1665736104,SEED: 1665735588,SEED: 1665736106,SEED: 1665735587,SEED: 1665735589,SEED: 1665736103,SEED: 1665735584,SEED: 1665735583,Average
0,2.0,0.666187,0.666181,0.666208,0.666156,0.666203,0.666195,0.666188,0.666211,0.666195,0.666212,0.666135,0.666204,0.6661895833333333
1,2.02,0.666116,0.666128,0.666083,0.666142,0.666116,0.665889,0.666076,0.666071,0.666117,0.666122,0.66611,0.666114,0.6660903333333333
2,2.04,0.666026,0.666031,0.666045,0.665958,0.666003,0.665978,0.665974,0.666021,0.665388,0.666043,0.666016,0.665991,0.6659561666666667
3,2.06,0.665827,0.665742,0.665821,0.66584,0.665735,0.665564,0.665873,0.665916,0.665916,0.665861,0.665841,0.665855,0.6658159166666667
4,2.08,0.665458,0.66571,0.665711,0.665488,0.665456,0.665647,0.665723,0.66573,0.665717,0.66568,0.665597,0.665519,0.6656196666666666
5,2.1,0.665568,0.665565,0.665509,0.665326,0.665452,0.665433,0.665606,0.665333,0.665278,0.665491,0.665001,0.665024,0.6653821666666667
6,2.12,0.66541,0.664589,0.665277,0.664954,0.664849,0.665133,0.664772,0.66468,0.665365,0.664921,0.66544,0.664903,0.6650244166666667
7,2.14,0.664623,0.664444,0.66417,0.664201,0.664443,0.66378,0.663922,0.664329,0.66472,0.664685,0.664828,0.665051,0.6644329999999999
8,2.16,0.663553,0.66377,0.663648,0.664025,0.663666,0.664156,0.66368,0.663943,0.664041,0.663238,0.663772,0.664136,0.6638023333333333
9,2.18,0.662741,0.662842,0.662499,0.663075,0.662255,0.661468,0.66401,0.663515,0.661496,0.663045,0.657997,0.663757,0.6623916666666667
10,2.2,0.661142,0.658366,0.661524,0.661474,0.659485,0.659014,0.659586,0.661741,0.662477,0.659752,0.656744,0.658361,0.6599721666666667
11,2.22,0.653217,0.650498,0.656266,0.658039,0.661392,0.655806,0.652802,0.652957,0.657196,0.655637,0.654908,0.650083,0.6549000833333333
12,2.24,0.655109,0.65344,0.651708,0.652611,0.638067,0.587615,0.641098,0.6521,0.645446,0.648489,0.652422,0.655697,0.6444834999999999
13,2.26,0.620088,0.609095,0.653455,0.588573,0.628632,0.651137,0.576368,0.634581,0.643063,0.643086,0.655202,0.650041,0.6294434166666667
14,2.28,0.582512,0.632939,0.600366,0.637848,0.596639,0.577507,0.602648,0.601957,0.571354,0.617069,0.596257,0.609113,0.6021840833333333
15,2.3,0.512555,0.526867,0.477584,0.497249,0.553829,0.491275,0.34534,0.454268,0.515223,0.522063,0.590276,0.573611,0.5050116666666666
16,2.32,0.570633,0.374159,0.434136,0.397469,0.448054,0.482074,0.52112,0.444754,0.497896,0.355329,0.519821,0.512503,0.4631623333333334
17,2.34,0.319968,0.527504,0.420893,0.424074,0.283056,0.287744,0.341841,0.409605,0.374084,0.530393,0.31874,0.307648,0.3787958333333334
18,2.36,0.373743,0.086339,0.338868,0.350055,0.351986,0.234745,0.138819,0.198407,0.343428,0.217812,0.381283,0.356986,0.28103924999999996
19,2.38,0.215368,0.21965,0.149746,0.310057,0.226038,0.170385,0.273288,0.333072,0.148842,0.22762,0.165432,0.248596,0.22400783333333332
