,T [L = 40],SEED: 1665735587,SEED: 1665735589,SEED: 1665736105,SEED: 1665735584,SEED: 1665735588,SEED: 1665736102,SEED: 1665736104,SEED: 1665735583,SEED: 1665735586,SEED: 1665736106,SEED: 1665736103,SEED: 1665735585,Average
0,2.0,0.665928,0.665931,0.665863,0.665985,0.665886,0.66578,0.665932,0.665712,0.665825,0.665785,0.665926,0.665784,0.6658614166666667
1,2.02,0.66578,0.665802,0.665884,0.665883,0.665892,0.66588,0.665783,0.665534,0.665854,0.665726,0.66587,0.665931,0.6658182500000001
2,2.04,0.665729,0.6656,0.665666,0.665506,0.665495,0.665713,0.665494,0.665645,0.665572,0.665582,0.665651,0.66553,0.6655985833333333
3,2.06,0.665628,0.665563,0.665537,0.665562,0.665449,0.665279,0.665379,0.665385,0.665346,0.665646,0.665445,0.665318,0.6654614166666666
4,2.08,0.665185,0.663334,0.664905,0.665293,0.665161,0.664999,0.66501,0.664527,0.665125,0.665273,0.665033,0.66376,0.6648004166666667
5,2.1,0.66504,0.664229,0.664416,0.66485,0.664644,0.662175,0.665092,0.665134,0.664766,0.664568,0.664768,0.664663,0.66452875
6,2.12,0.664472,0.664348,0.664045,0.663987,0.664236,0.663958,0.664217,0.663656,0.663434,0.664579,0.66443,0.664744,0.6641754999999999
7,2.14,0.664282,0.664289,0.663911,0.66392,0.664025,0.663784,0.663203,0.663649,0.664152,0.66118,0.663547,0.661578,0.66346
8,2.16,0.662062,0.663285,0.663194,0.660152,0.663389,0.663481,0.663365,0.662084,0.662399,0.662248,0.662701,0.663388,0.6626456666666667
9,2.18,0.640492,0.661351,0.65155,0.654065,0.660116,0.660225,0.656417,0.659446,0.660588,0.659492,0.662174,0.663037,0.65741275
10,2.2,0.652726,0.65985,0.653307,0.659458,0.658863,0.657863,0.65905,0.658801,0.656903,0.657895,0.650031,0.660869,0.6571346666666665
11,2.22,0.655913,0.654528,0.649848,0.653932,0.650587,0.647912,0.612931,0.62652,0.641244,0.6547,0.657444,0.643393,0.6457459999999999
12,2.24,0.649257,0.641877,0.626687,0.646335,0.631156,0.626513,0.643635,0.636442,0.617768,0.630285,0.641409,0.640798,0.6360135
13,2.26,0.616556,0.632944,0.582126,0.64847,0.630557,0.630192,0.644602,0.63131,0.638536,0.649811,0.641521,0.62247,0.6307579166666667
14,2.28,0.548254,0.609302,0.623435,0.589519,0.546666,0.622758,0.635953,0.576818,0.558101,0.617267,0.512602,0.58688,0.5856295833333334
15,2.3,0.577433,0.492624,0.562061,0.534823,0.53125,0.470026,0.564385,0.580319,0.537811,0.494234,0.596771,0.561189,0.5419105000000001
16,2.32,0.412062,0.498206,0.512526,0.480718,0.521045,0.439497,0.494976,0.465211,0.473593,0.517936,0.50167,0.439895,0.47977791666666664
17,2.34,0.454113,0.460458,0.516966,0.399733,0.345225,0.427158,0.437177,0.43951,0.432226,0.351979,0.429413,0.474039,0.4306664166666667
18,2.36,0.406857,0.384461,0.394355,0.257546,0.388018,0.367088,0.409333,0.297894,0.325751,0.357109,0.382736,0.416715,0.36565525000000004
19,2.38,0.253221,0.236561,0.328297,0.433777,0.313997,0.36998,0.36269,0.356913,0.237369,0.333263,0.346035,0.222111,0.31618450000000003
