,T [L = 20],SEED: 1665735584,SEED: 1665735587,SEED: 1665735588,SEED: 1665736104,SEED: 1665735585,SEED: 1665736102,SEED: 1665736105,SEED: 1665736106,SEED: 1665736103,SEED: 1665735586,SEED: 1665735589,SEED: 1665735583,Average
0,2.0,0.664208,0.663461,0.662939,0.664263,0.663371,0.663666,0.662048,0.664208,0.664326,0.664094,0.663716,0.663861,0.6636800833333334
1,2.02,0.663856,0.663314,0.663781,0.663428,0.662341,0.663325,0.664197,0.663978,0.662445,0.663407,0.662797,0.663544,0.66336775
2,2.04,0.662434,0.660551,0.660901,0.662975,0.660756,0.663627,0.662204,0.662,0.663159,0.663465,0.663232,0.663341,0.6623870833333333
3,2.06,0.662712,0.660922,0.661606,0.662888,0.662998,0.662722,0.662838,0.660288,0.660609,0.662119,0.662427,0.662623,0.6620626666666667
4,2.08,0.66017,0.661273,0.662107,0.661988,0.661763,0.660768,0.661667,0.661228,0.661389,0.658104,0.658904,0.661919,0.66094
5,2.1,0.660158,0.659268,0.65868,0.658757,0.659014,0.65925,0.658376,0.659489,0.65954,0.660076,0.660121,0.658068,0.6592330833333333
6,2.12,0.659776,0.656635,0.654793,0.659338,0.65642,0.656678,0.658613,0.659509,0.659899,0.655725,0.658821,0.660113,0.6580266666666666
7,2.14,0.650701,0.659873,0.65853,0.659053,0.655821,0.655829,0.656208,0.660154,0.656671,0.656515,0.6557,0.65685,0.6568254166666668
8,2.16,0.654228,0.646271,0.655667,0.65084,0.650921,0.655343,0.656918,0.655068,0.655283,0.654162,0.655361,0.655977,0.6538365833333334
9,2.18,0.643749,0.65276,0.64835,0.654442,0.650785,0.636358,0.650483,0.640571,0.649575,0.652624,0.651147,0.648095,0.6482449166666667
10,2.2,0.649413,0.63803,0.638558,0.640855,0.64129,0.651945,0.632466,0.643415,0.644814,0.633043,0.641052,0.650049,0.6420775
11,2.22,0.635544,0.63978,0.639828,0.634649,0.638149,0.62692,0.632044,0.620612,0.632409,0.648273,0.647364,0.631612,0.6355986666666665
12,2.24,0.624138,0.629647,0.640174,0.604042,0.606963,0.615302,0.636202,0.631257,0.623229,0.631185,0.625479,0.627823,0.6246200833333334
13,2.26,0.61426,0.625945,0.600783,0.589,0.618201,0.628157,0.620555,0.613827,0.598479,0.604591,0.623073,0.60421,0.61175675
14,2.28,0.615381,0.604436,0.61678,0.618158,0.609034,0.599149,0.597363,0.604693,0.600363,0.608963,0.593312,0.573576,0.6034339999999999
15,2.3,0.596851,0.589905,0.582373,0.611736,0.584293,0.573398,0.59594,0.590731,0.591676,0.586753,0.602481,0.517589,0.5853105
16,2.32,0.567746,0.570048,0.567101,0.587655,0.555341,0.567571,0.552852,0.584763,0.563591,0.572524,0.562695,0.575311,0.5689331666666667
17,2.34,0.525677,0.543506,0.568631,0.561605,0.543228,0.563862,0.556514,0.547916,0.558181,0.522428,0.526735,0.507346,0.5438024166666667
18,2.36,0.505344,0.512582,0.52401,0.483799,0.532615,0.519069,0.440207,0.542644,0.513585,0.508906,0.539544,0.488586,0.5092409166666666
19,2.38,0.499874,0.455018,0.474954,0.51062,0.524282,0.526914,0.498465,0.46958,0.514449,0.465453,0.501726,0.512056,0.49611591666666666
