,T [L = 30],SEED: 1665736103,SEED: 1665736106,SEED: 1665735589,SEED: 1665736102,SEED: 1665735586,SEED: 1665735587,SEED: 1665736104,SEED: 1665735585,SEED: 1665736105,SEED: 1665735584,SEED: 1665735583,SEED: 1665735588,Average
0,2.0,0.665314,0.665359,0.665403,0.665301,0.66523,0.665357,0.665195,0.665443,0.665434,0.665256,0.664639,0.665334,0.6652720833333333
1,2.02,0.664943,0.665038,0.665419,0.665077,0.664793,0.665065,0.665093,0.664986,0.665059,0.664912,0.6653,0.665451,0.6650946666666667
2,2.04,0.665195,0.664821,0.664842,0.66495,0.664948,0.664787,0.664696,0.662937,0.664742,0.664898,0.664371,0.665041,0.6646856666666667
3,2.06,0.664593,0.664318,0.664447,0.664436,0.664387,0.664343,0.664716,0.664466,0.664442,0.663949,0.66421,0.664257,0.6643803333333334
4,2.08,0.663627,0.663691,0.664026,0.664331,0.663976,0.663823,0.663874,0.66293,0.664198,0.664005,0.664158,0.664036,0.6638895833333335
5,2.1,0.661995,0.662513,0.663962,0.663555,0.662663,0.662766,0.663301,0.66345,0.662989,0.663306,0.663549,0.6635,0.6631290833333334
6,2.12,0.662442,0.662712,0.663438,0.661675,0.663253,0.662088,0.662924,0.662257,0.662256,0.661911,0.663101,0.662029,0.6625071666666668
7,2.14,0.662163,0.662647,0.661564,0.66042,0.662542,0.657149,0.659737,0.661125,0.659428,0.660689,0.660948,0.661764,0.660848
8,2.16,0.659397,0.65948,0.652148,0.659511,0.658957,0.657155,0.658625,0.659272,0.657816,0.660807,0.660388,0.660986,0.6587118333333334
9,2.18,0.657096,0.656173,0.656756,0.660625,0.65907,0.645395,0.658972,0.651349,0.655515,0.644946,0.658583,0.656649,0.6550940833333333
10,2.2,0.651223,0.654744,0.609506,0.655326,0.653162,0.65869,0.65554,0.644095,0.651571,0.64989,0.643801,0.653449,0.6484164166666667
11,2.22,0.650246,0.630034,0.636824,0.6492,0.651773,0.64297,0.61901,0.652413,0.643063,0.645646,0.647452,0.633169,0.6418166666666666
12,2.24,0.619903,0.636542,0.644653,0.633959,0.646805,0.644486,0.62538,0.64926,0.635498,0.622434,0.647946,0.634534,0.6367833333333334
13,2.26,0.627348,0.629014,0.639722,0.629529,0.603279,0.632165,0.632155,0.639705,0.616755,0.625862,0.645887,0.626059,0.6289566666666667
14,2.28,0.60276,0.613337,0.589008,0.583629,0.603381,0.584326,0.598736,0.606691,0.597866,0.565707,0.605729,0.598947,0.5958430833333332
15,2.3,0.598344,0.541765,0.574353,0.594556,0.526285,0.576881,0.556395,0.614115,0.581987,0.586859,0.601177,0.578264,0.57758175
16,2.32,0.539464,0.564455,0.491036,0.590214,0.548712,0.564431,0.507425,0.493444,0.478707,0.454764,0.530645,0.465211,0.5190423333333333
17,2.34,0.501087,0.512002,0.502385,0.499142,0.449357,0.446292,0.469586,0.510125,0.434659,0.498723,0.458169,0.51403,0.4829630833333333
18,2.36,0.464994,0.495713,0.414583,0.394398,0.478205,0.451599,0.489001,0.481622,0.50244,0.457134,0.445033,0.430616,0.4587781666666666
19,2.38,0.398067,0.430473,0.481255,0.395865,0.378708,0.426855,0.413509,0.420549,0.293521,0.393301,0.429597,0.402643,0.4053619166666667
