,T [L = 30],SEED: 1665669474,SEED: 1665670495,SEED: 1665670150,SEED: 1665670839,SEED: 1665669807,SEED: 1665671879,SEED: 1665671184,SEED: 1665671530,SEED: 1665672226,SEED: 1665672572,Average
0,1.8,0.666346,0.666352,0.666348,0.666338,0.666354,0.666322,0.666368,0.666358,0.666341,0.666332,0.6663459
1,1.85,0.666232,0.666228,0.666238,0.666213,0.666219,0.66628,0.666205,0.666187,0.666225,0.666241,0.6662268
2,1.9,0.66603,0.665976,0.666066,0.666055,0.666095,0.666054,0.66605,0.666006,0.666083,0.666102,0.6660517
3,1.95,0.665584,0.665834,0.665904,0.665708,0.66585,0.665723,0.665872,0.665678,0.6657,0.665679,0.6657531999999999
4,2.0,0.665598,0.665444,0.665483,0.665219,0.665115,0.665449,0.665522,0.665356,0.66554,0.66546,0.6654186000000001
5,2.05,0.66472,0.664971,0.66459,0.664394,0.664219,0.66488,0.664451,0.664916,0.664893,0.66478,0.6646814000000001
6,2.1,0.663213,0.66164,0.662053,0.663716,0.663823,0.66352,0.66301,0.662733,0.663003,0.663672,0.6630383
7,2.15,0.661747,0.661193,0.658929,0.659817,0.659214,0.662434,0.660226,0.661463,0.65928,0.659827,0.6604129999999999
8,2.2,0.647171,0.648678,0.650849,0.651432,0.651213,0.653719,0.656268,0.654274,0.65666,0.651271,0.6521535
9,2.25,0.650945,0.623266,0.61673,0.623583,0.630487,0.638207,0.615314,0.635968,0.621367,0.63037,0.6286237
10,2.3,0.515181,0.591423,0.531763,0.548333,0.52948,0.559793,0.616733,0.590846,0.543847,0.486369,0.5513767999999999
11,2.35,0.527508,0.481629,0.499079,0.47317,0.482604,0.531662,0.488259,0.478164,0.545332,0.283763,0.4791169999999999
12,2.4,0.304202,0.381564,0.388756,0.3499,0.347151,0.225752,0.396352,0.370876,0.358252,0.397472,0.35202769999999994
13,2.45,0.21818,0.191289,0.158037,0.265241,0.276153,0.220075,0.310491,0.267164,0.217394,0.259689,0.23837129999999998
14,2.5,0.153677,0.240004,0.179981,0.144469,0.232655,0.150708,0.161922,0.005538,0.182053,0.188582,0.1639589
15,2.55,0.120055,0.164068,0.170317,0.08711,0.105262,0.135209,0.185502,0.116889,0.109976,0.05469,0.12490779999999999
16,2.6,0.191658,0.060843,0.163109,0.068752,0.056197,0.076262,0.040788,0.136287,0.063625,0.095937,0.09534580000000001
17,2.65,0.14309,0.068656,0.132193,0.153463,0.077403,0.040144,0.117594,0.071642,0.097385,0.025412,0.0926982
18,2.7,0.083674,0.087197,0.025483,0.092022,0.091919,0.088849,0.080536,-0.019397,0.043372,0.074627,0.0648282
